x,y,value
0,0,0.017037037
1,0,0.002222222
2,0,0.057777778
3,0,0.231851852
4,0,0.055555556
5,0,0.008888889
6,0,0.083703704
7,0,0
8,0,0.028148148
9,0,0.040740741
10,0,0.000740741
11,0,0.003703704
12,0,0.078518519
13,0,0.068888889
14,0,0.076296296
15,0,0.338518519
16,0,0.040740741
17,0,0.091851852
18,0,0
19,0,0.044444444
20,0,0.128888889
21,0,0.014814815
22,0,0.054814815
23,0,0.001481481
24,0,0.000740741
25,0,0.020740741
26,0,0.022222222
27,0,0.305925926
28,0,0.476296296
29,0,0.457037037
30,0,0.097037037
31,0,0.086666667
32,0,0.062962963
33,0,0.420740741
34,0,0.346666667
35,0,0.267407407
36,0,0.068148148
37,0,0.531111111
38,0,0.436296296
39,0,0.528888889
40,0,0.505185185
41,0,0.29037037
42,0,0.065185185
43,0,0.416296296
44,0,0.116296296
45,0,0.26
46,0,0.085925926
47,0,0
48,0,0.207407407
49,0,0.235555556
50,0,0.074814815
51,0,0.52962963
52,0,0
53,0,0.093333333
54,0,0.242962963
55,0,0.077037037
56,0,0.200740741
57,0,0.048888889
58,0,0
59,0,0
60,0,0.531851852
61,0,0.394074074
62,0,0.005185185
63,0,0.443703704
64,0,0.297037037
65,0,0.08
66,0,0.076296296
67,0,0.244444444
68,0,0.01037037
69,0,0.635555556
70,0,0.84962963
71,0,0.644444444
72,0,0.620740741
73,0,0.026666667
74,0,0.518518519
75,0,0.514814815
76,0,0.83037037
77,0,0.052592593
78,0,0.117777778
79,0,0.043703704
80,0,0.000740741
81,0,0.024444444
82,0,0.306666667
83,0,0.08962963
84,0,0.015555556
85,0,0.420740741
86,0,0.374074074
87,0,0
88,0,0.031111111
89,0,0.18962963
90,0,0.567407407
91,0,0.298518519
92,0,0.197777778
93,0,0.233333333
94,0,0.563703704
95,0,0.318518519
96,0,0.147407407
97,0,0.111111111
98,0,0.36
99,0,0.144444444
100,0,0.108888889
101,0,0.099259259
102,0,0.105185185
103,0,0.194814815
104,0,0.097037037
105,0,0.184444444
106,0,0.245185185
107,0,0.442962963
108,0,0.634814815
109,0,0.088888889
110,0,0.219259259
111,0,1
112,0,0.688888889
113,0,0.193333333
114,0,0.114814815
115,0,0.245185185
116,0,0.068148148
117,0,0.012592593
118,0,0.102222222
119,0,0.074814815
120,0,0.028888889
121,0,0
122,0,0.015555556
123,0,0.057777778
124,0,0.059259259
125,0,0
126,0,0.064444444
127,0,0.044444444
128,0,0.067407407
129,0,0.076296296
130,0,0.002962963
131,0,0.121481481
132,0,0.011111111
133,0,0.104444444
134,0,0
135,0,0.008148148
136,0,0.121481481
137,0,0.13037037
138,0,0.002962963
139,0,0
140,0,0
141,0,0.011851852
142,0,0.037037037
143,0,0.028888889
144,0,0.008148148
145,0,0.000740741
146,0,0.034814815
147,0,0.017777778
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0.014814815
157,0,0.031851852
158,0,0.004444444
159,0,0
160,0,0.034074074
161,0,0.041481481
162,0,0.011851852
163,0,0
164,0,0.171851852
165,0,0.051851852
166,0,0
167,0,0.08
168,0,0.005925926
169,0,0.058518519
170,0,0.028148148
171,0,0
172,0,0
173,0,0.26
174,0,0
175,0,0.000740741
176,0,0
177,0,0.002962963
178,0,0
179,0,0.039259259
180,0,0
181,0,0.034074074
182,0,0
183,0,0.038518519
184,0,0
185,0,0
186,0,0.008148148
187,0,0
188,0,0.023703704
189,0,0
190,0,0.023703704
191,0,0
192,0,0
193,0,0
194,0,0
0,1,0.233948769
1,1,0.039753826
2,1,0.072105788
3,1,0.059630739
4,1,0.045658683
5,1,0.054308051
6,1,0.036011311
7,1,0.06595143
8,1,0.158100466
9,1,0.160096474
10,1,0.043745842
11,1,0.025698603
12,1,0.20259481
13,1,0.120093147
14,1,0.238606121
15,1,0.382152362
16,1,0.121756487
17,1,0.190036593
18,1,0.052811045
19,1,0.077095808
20,1,0.119677312
21,1,0.216982701
22,1,0.070608782
