x,y,value
0,0,1
1,0,0.84962963
2,0,0.83037037
3,0,0.688888889
4,0,0.644444444
5,0,0.635555556
6,0,0.634814815
7,0,0.620740741
8,0,0.567407407
9,0,0.563703704
10,0,0.531851852
11,0,0.531111111
12,0,0.52962963
13,0,0.528888889
14,0,0.518518519
15,0,0.514814815
16,0,0.505185185
17,0,0.476296296
18,0,0.457037037
19,0,0.443703704
20,0,0.442962963
21,0,0.436296296
22,0,0.420740741
23,0,0.420740741
24,0,0.416296296
25,0,0.394074074
26,0,0.374074074
27,0,0.36
28,0,0.346666667
29,0,0.338518519
30,0,0.318518519
31,0,0.306666667
32,0,0.305925926
33,0,0.298518519
34,0,0.297037037
35,0,0.29037037
36,0,0.267407407
37,0,0.26
38,0,0.26
39,0,0.245185185
40,0,0.245185185
41,0,0.244444444
42,0,0.242962963
43,0,0.235555556
44,0,0.233333333
45,0,0.231851852
46,0,0.219259259
47,0,0.207407407
48,0,0.200740741
49,0,0.197777778
50,0,0.194814815
51,0,0.193333333
52,0,0.18962963
53,0,0.184444444
54,0,0.171851852
55,0,0.147407407
56,0,0.144444444
57,0,0.13037037
58,0,0.128888889
59,0,0.121481481
60,0,0.121481481
61,0,0.117777778
62,0,0.116296296
63,0,0.114814815
64,0,0.111111111
65,0,0.108888889
66,0,0.105185185
67,0,0.104444444
68,0,0.102222222
69,0,0.099259259
70,0,0.097037037
71,0,0.097037037
72,0,0.093333333
73,0,0.091851852
74,0,0.08962963
75,0,0.088888889
76,0,0.086666667
77,0,0.085925926
78,0,0.083703704
79,0,0.08
80,0,0.08
81,0,0.078518519
82,0,0.077037037
83,0,0.076296296
84,0,0.076296296
85,0,0.076296296
86,0,0.074814815
87,0,0.074814815
88,0,0.068888889
89,0,0.068148148
90,0,0.068148148
91,0,0.067407407
92,0,0.065185185
93,0,0.064444444
94,0,0.062962963
95,0,0.059259259
96,0,0.058518519
97,0,0.057777778
98,0,0.057777778
99,0,0.055555556
100,0,0.054814815
101,0,0.052592593
102,0,0.051851852
103,0,0.048888889
104,0,0.044444444
105,0,0.044444444
106,0,0.043703704
107,0,0.041481481
108,0,0.040740741
109,0,0.040740741
110,0,0.039259259
111,0,0.038518519
112,0,0.037037037
113,0,0.034814815
114,0,0.034074074
115,0,0.034074074
116,0,0.031851852
117,0,0.031111111
118,0,0.028888889
119,0,0.028888889
120,0,0.028148148
121,0,0.028148148
122,0,0.026666667
123,0,0.024444444
124,0,0.023703704
125,0,0.023703704
126,0,0.022222222
127,0,0.020740741
128,0,0.017777778
129,0,0.017037037
130,0,0.015555556
131,0,0.015555556
132,0,0.014814815
133,0,0.014814815
134,0,0.012592593
135,0,0.011851852
136,0,0.011851852
137,0,0.011111111
138,0,0.01037037
139,0,0.008888889
140,0,0.008148148
141,0,0.008148148
142,0,0.008148148
143,0,0.005925926
144,0,0.005185185
145,0,0.004444444
146,0,0.003703704
147,0,0.002962963
148,0,0.002962963
149,0,0.002962963
150,0,0.002222222
151,0,0.001481481
152,0,0.000740741
153,0,0.000740741
154,0,0.000740741
155,0,0.000740741
156,0,0.000740741
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
0,1,1
1,1,0.966400532
2,1,0.713905522
3,1,0.697272122
4,1,0.656769794
5,1,0.61169328
6,1,0.565535595
7,1,0.532850965
8,1,0.528526281
9,1,0.512724551
10,1,0.50748503
11,1,0.489853626
12,1,0.486027944
13,1,0.483117099
14,1,0.4750499
15,1,0.473137059
16,1,0.4667332
17,1,0.411926148
18,1,0.403193613
19,1,0.40161344
20,1,0.395874917
21,1,0.382817698
22,1,0.382152362
23,1,0.379407851
24,1,0.364105123
25,1,0.358616101
26,1,0.356287425
27,1,0.353043912
28,1,0.349135063
29,1,0.338157019
30,1,0.335163007
31,1,0.325848303
32,1,0.325598802
33,1,0.307052562
34,1,0.305306055
35,1,0.292248836
36,1,0.278193613
37,1,0.267797738
38,1,0.266051231
39,1,0.264055223
40,1,0.26081171
41,1,0.258732535
42,1,0.249001996
43,1,0.238606121
44,1,0.233948769
45,1,0.220808383
46,1,0.216982701
47,1,0.216899534
48,1,0.213988689
49,1,0.212907518
50,1,0.206254158
51,1,0.20342648
52,1,0.20259481
53,1,0.202095808
54,1,0.199434464
55,1,0.194444444
56,1,0.193779108
57,1,0.193030605
58,1,0.190036593
59,1,0.188622754
60,1,0.187541584
61,1,0.185129741
62,1,0.183632735
63,1,0.182717898
64,1,0.180888224
65,1,0.173486361
66,1,0.168995343
67,1,0.160096474
68,1,0.158100466
69,1,0.15660346
70,1,0.155189621
71,1,0.151946108
72,1,0.147704591
73,1,0.14412841
74,1,0.142797738
75,1,0.142298736
76,1,0.139221557
77,1,0.136976048
78,1,0.134065203
79,1,0.124251497
80,1,0.122089155
81,1,0.121756487
82,1,0.120093147
83,1,0.119677312
84,1,0.119677312
85,1,0.119427811
86,1,0.117431803
87,1,0.112608117
88,1,0.11169328
89,1,0.107618097
90,1,0.105289421
91,1,0.099800399
92,1,0.099384564
93,1,0.098220226
94,1,0.09589155
95,1,0.09422821
96,1,0.09256487
97,1,0.092481703
98,1,0.092149035
99,1,0.091151031
100,1,0.091067864
101,1,0.086576846
102,1,0.086244178
103,1,0.083166999
104,1,0.082667997
105,1,0.081004657
106,1,0.078343313
107,1,0.077677977
108,1,0.077428476
109,1,0.077095808
110,1,0.076596806
111,1,0.074767132
112,1,0.072105788
113,1,0.070608782
114,1,0.066866267
115,1,0.06595143
116,1,0.064953426
117,1,0.064454424
118,1,0.06428809
119,1,0.06262475
120,1,0.060379242
121,1,0.060296075
122,1,0.059630739
123,1,0.059381238
124,1,0.057967399
125,1,0.057052562
126,1,0.054391218
127,1,0.054308051
128,1,0.053975383
129,1,0.053809049
130,1,0.052811045
131,1,0.051314039
132,1,0.051230872
133,1,0.050815037
134,1,0.050565536
135,1,0.050066534
136,1,0.049650699
137,1,0.046989355
138,1,0.045658683
139,1,0.043745842
140,1,0.041833001
141,1,0.041749834
142,1,0.040668663
143,1,0.040585496
144,1,0.040419162
145,1,0.040335995
146,1,0.039753826
147,1,0.039504325
148,1,0.03825682
149,1,0.036011311
150,1,0.035928144
151,1,0.03576181
152,1,0.03493014
153,1,0.034763806
154,1,0.034514305
155,1,0.032684631
156,1,0.031520293
157,1,0.030355955
158,1,0.028193613
159,1,0.02661344
160,1,0.026197605
161,1,0.025948104
162,1,0.025698603
163,1,0.025365935
164,1,0.024035263
165,1,0.021124418
166,1,0.020958084
167,1,0.019710579
168,1,0.017215569
169,1,0.015469062
170,1,0.014803726
171,1,0.014304724
172,1,0.01247505
173,1,0.012225549
174,1,0.012059215
175,1,0.011310712
176,1,0.010479042
177,1,0.009065203
178,1,0.008566201
179,1,0.007817698
180,1,0.007734531
181,1,0.006819694
182,1,0.006320692
183,1,0.006237525
184,1,0.00499002
185,1,0.00499002
186,1,0.004906853
187,1,0.004657352
188,1,0.00415835
189,1,0.003992016
190,1,0.003659348
191,1,0
192,1,0
193,1,0
194,1,0
0,2,1
1,2,0.785803238
2,2,0.753424658
3,2,0.648816936
4,2,0.577210461
5,2,0.569115816
6,2,0.54483188
7,2,0.534246575
8,2,0.529265255
9,2,0.516811955
10,2,0.51494396
11,2,0.513075965
12,2,0.50996264
13,2,0.4750934
14,2,0.435865504
15,2,0.425902864
16,2,0.417185554
17,2,0.415940224
18,2,0.409713574
19,2,0.377334994
20,2,0.367995019
21,2,0.346824408
22,2,0.340597758
23,2,0.326899128
24,2,0.318181818
25,2,0.316936488
26,2,0.315691158
27,2,0.315691158
28,2,0.311955168
29,2,0.300747198
30,2,0.292652553
31,2,0.292652553
32,2,0.290784558
33,2,0.289539228
34,2,0.288293898
35,2,0.285803238
36,2,0.280821918
37,2,0.280199253
38,2,0.275217933
39,2,0.275217933
40,2,0.270236613
41,2,0.267745953
42,2,0.266500623
43,2,0.258405978
44,2,0.252179328
45,2,0.247198007
46,2,0.246575342
47,2,0.242839352
48,2,0.239103362
49,2,0.233499377
50,2,0.230386052
51,2,0.227895392
52,2,0.227895392
53,2,0.225404732
54,2,0.221668742
55,2,0.219178082
56,2,0.217932752
57,2,0.216687422
58,2,0.216687422
59,2,0.211706102
60,2,0.210460772
61,2,0.208592777
62,2,0.207347447
63,2,0.206102117
64,2,0.203611457
65,2,0.201120797
66,2,0.199252802
67,2,0.198630137
68,2,0.195516812
69,2,0.194271482
70,2,0.192403487
71,2,0.191780822
72,2,0.190535492
73,2,0.189912827
74,2,0.188667497
75,2,0.188044832
76,2,0.186799502
77,2,0.183686177
78,2,0.182440847
79,2,0.180572852
80,2,0.174968867
81,2,0.173723537
82,2,0.173723537
83,2,0.173100872
84,2,0.173100872
85,2,0.171855542
86,2,0.171232877
87,2,0.163138232
88,2,0.162515567
89,2,0.160647572
90,2,0.156288917
91,2,0.150684932
92,2,0.149439601
93,2,0.146326276
94,2,0.145080946
95,2,0.143212951
96,2,0.142590286
97,2,0.138854296
98,2,0.138854296
99,2,0.133250311
100,2,0.133250311
101,2,0.127646326
102,2,0.125778331
103,2,0.125155666
104,2,0.123910336
105,2,0.123287671
106,2,0.122042341
107,2,0.121419676
108,2,0.115815691
109,2,0.114570361
110,2,0.109589041
111,2,0.109589041
112,2,0.107721046
113,2,0.106475716
114,2,0.100249066
115,2,0.100249066
116,2,0.099003736
117,2,0.097758406
118,2,0.096513076
119,2,0.093399751
120,2,0.092154421
121,2,0.090909091
122,2,0.090909091
123,2,0.090909091
124,2,0.087173101
125,2,0.085305106
126,2,0.084059776
127,2,0.084059776
128,2,0.082814446
129,2,0.082191781
130,2,0.081569116
131,2,0.080946451
132,2,0.078455791
133,2,0.077210461
134,2,0.077210461
135,2,0.076587796
136,2,0.071606476
137,2,0.069738481
138,2,0.068493151
139,2,0.067870486
140,2,0.065379826
141,2,0.062889166
142,2,0.060398506
143,2,0.059153176
144,2,0.057907846
145,2,0.054794521
146,2,0.054171856
147,2,0.053549191
148,2,0.052926526
149,2,0.047945205
150,2,0.047945205
151,2,0.04732254
152,2,0.046699875
153,2,0.045454545
154,2,0.04483188
155,2,0.04483188
156,2,0.044209215
157,2,0.04358655
158,2,0.04234122
159,2,0.04109589
160,2,0.03985056
161,2,0.03860523
162,2,0.0373599
163,2,0.0373599
164,2,0.036737235
165,2,0.03486924
166,2,0.03362391
167,2,0.030510585
168,2,0.025529265
169,2,0.0249066
170,2,0.024283935
171,2,0.02366127
172,2,0.01992528
173,2,0.019302615
174,2,0.01867995
175,2,0.016811955
176,2,0.01618929
177,2,0.015566625
178,2,0.0124533
179,2,0.011830635
180,2,0.009339975
181,2,0.00871731
182,2,0.00871731
183,2,0.008094645
184,2,0.00747198
185,2,0.00622665
186,2,0.001867995
187,2,0.00124533
188,2,0
189,2,0
190,2,0
191,2,0
192,2,0
193,2,0
194,2,0
0,3,1
1,3,0.99713467
2,3,0.934097421
3,3,0.905444126
4,3,0.853868195
5,3,0.796561605
6,3,0.787965616
7,3,0.787965616
8,3,0.785100287
9,3,0.770773639
10,3,0.747851003
11,3,0.742120344
12,3,0.730659026
13,3,0.727793696
14,3,0.713467049
15,3,0.664756447
16,3,0.604584527
17,3,0.593123209
18,3,0.58739255
19,3,0.578796562
20,3,0.578796562
21,3,0.575931232
22,3,0.561604585
23,3,0.550143266
24,3,0.550143266
25,3,0.541547278
26,3,0.521489971
27,3,0.518624642
28,3,0.518624642
29,3,0.515759312
30,3,0.507163324
31,3,0.498567335
32,3,0.495702006
33,3,0.492836676
34,3,0.489971347
35,3,0.484240688
36,3,0.47277937
37,3,0.46991404
38,3,0.467048711
39,3,0.464183381
40,3,0.458452722
41,3,0.455587393
42,3,0.452722063
43,3,0.446991404
44,3,0.444126074
45,3,0.435530086
46,3,0.432664756
47,3,0.432664756
48,3,0.429799427
49,3,0.421203438
50,3,0.418338109
51,3,0.418338109
52,3,0.40974212
53,3,0.406876791
54,3,0.404011461
55,3,0.395415473
56,3,0.392550143
57,3,0.378223496
58,3,0.375358166
59,3,0.366762178
60,3,0.363896848
61,3,0.361031519
62,3,0.35243553
63,3,0.343839542
64,3,0.340974212
65,3,0.338108883
66,3,0.338108883
67,3,0.332378223
68,3,0.332378223
69,3,0.329512894
70,3,0.329512894
71,3,0.323782235
72,3,0.320916905
73,3,0.320916905
74,3,0.320916905
75,3,0.320916905
76,3,0.315186246
77,3,0.315186246
78,3,0.312320917
79,3,0.312320917
80,3,0.309455587
81,3,0.303724928
82,3,0.303724928
83,3,0.297994269
84,3,0.297994269
85,3,0.297994269
86,3,0.29512894
87,3,0.29512894
88,3,0.29512894
89,3,0.286532951
90,3,0.286532951
91,3,0.283667622
92,3,0.280802292
93,3,0.280802292
94,3,0.280802292
95,3,0.280802292
96,3,0.280802292
97,3,0.280802292
98,3,0.277936963
99,3,0.277936963
100,3,0.277936963
101,3,0.275071633
102,3,0.269340974
103,3,0.263610315
104,3,0.260744986
105,3,0.260744986
106,3,0.255014327
107,3,0.255014327
108,3,0.252148997
109,3,0.249283668
110,3,0.249283668
111,3,0.246418338
112,3,0.243553009
113,3,0.240687679
114,3,0.23782235
115,3,0.23782235
116,3,0.232091691
117,3,0.232091691
118,3,0.232091691
119,3,0.229226361
120,3,0.226361032
121,3,0.220630372
122,3,0.217765043
123,3,0.217765043
124,3,0.217765043
125,3,0.214899713
126,3,0.212034384
127,3,0.212034384
128,3,0.209169054
129,3,0.206303725
130,3,0.206303725
131,3,0.203438395
132,3,0.203438395
133,3,0.200573066
134,3,0.200573066
135,3,0.197707736
136,3,0.194842407
137,3,0.194842407
138,3,0.191977077
139,3,0.191977077
140,3,0.189111748
141,3,0.186246418
142,3,0.186246418
143,3,0.183381089
144,3,0.183381089
145,3,0.180515759
146,3,0.17765043
147,3,0.1747851
148,3,0.1747851
149,3,0.171919771
150,3,0.171919771
151,3,0.171919771
152,3,0.169054441
153,3,0.169054441
154,3,0.166189112
155,3,0.166189112
156,3,0.163323782
157,3,0.163323782
158,3,0.157593123
159,3,0.157593123
160,3,0.157593123
161,3,0.154727794
162,3,0.154727794
163,3,0.151862464
164,3,0.151862464
165,3,0.140401146
166,3,0.134670487
167,3,0.131805158
